GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error; Total: - Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era","Estimate; Total: - Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error; Total: - Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era","Estimate; Total: - Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era","Margin of Error; Total: - Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era","Estimate; Total: - Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error; Total: - Gulf War (8/1990 to 8/2001), no Vietnam Era",Estimate; Total: - Gulf War (8/1990 to 8/2001) and Vietnam Era,Margin of Error; Total: - Gulf War (8/1990 to 8/2001) and Vietnam Era,"Estimate; Total: - Vietnam Era, no Korean War, no World War II","Margin of Error; Total: - Vietnam Era, no Korean War, no World War II","Estimate; Total: - Vietnam Era and Korean War, no World War II","Margin of Error; Total: - Vietnam Era and Korean War, no World War II",Estimate; Total: - Vietnam Era and Korean War and World War II,Margin of Error; Total: - Vietnam Era and Korean War and World War II,"Estimate; Total: - Korean War, no Vietnam Era, no World War II","Margin of Error; Total: - Korean War, no Vietnam Era, no World War II","Estimate; Total: - Korean War and World War II, no Vietnam Era","Margin of Error; Total: - Korean War and World War II, no Vietnam Era","Estimate; Total: - World War II, no Korean War, no Vietnam Era","Margin of Error; Total: - World War II, no Korean War, no Vietnam Era",Estimate; Total: - Between Gulf War and Vietnam Era only,Margin of Error; Total: - Between Gulf War and Vietnam Era only,Estimate; Total: - Between Vietnam Era and Korean War only,Margin of Error; Total: - Between Vietnam Era and Korean War only,Estimate; Total: - Between Korean War and World War II only,Margin of Error; Total: - Between Korean War and World War II only,Estimate; Total: - Pre-World War II only,Margin of Error; Total: - Pre-World War II only
0500000US01001,01001,"Autauga County, Alabama",5922,470,612,173,868,201,42,33,716,172,173,76,1416,221,258,108,69,64,220,90,99,102,148,75,984,211,317,102,0,27,0,27
0500000US01003,01003,"Baldwin County, Alabama",19346,910,1230,274,531,159,74,67,2622,459,355,146,6283,504,463,156,99,76,1731,252,121,61,1323,255,2349,410,2028,288,78,54,59,57
0500000US01005,01005,"Barbour County, Alabama",2120,173,141,84,41,30,9,10,292,100,84,49,635,131,65,45,10,15,226,62,14,14,94,53,300,99,192,61,10,9,7,12
0500000US01007,01007,"Bibb County, Alabama",1327,219,115,114,20,23,28,31,135,72,8,14,353,133,14,21,8,10,190,81,0,21,101,56,246,108,98,48,11,19,0,21
0500000US01009,01009,"Blount County, Alabama",4540,325,401,136,147,77,25,36,299,103,76,53,1785,229,163,73,17,22,451,111,15,22,139,59,466,154,540,125,13,20,3,6
0500000US01011,01011,"Bullock County, Alabama",636,191,49,65,59,52,0,18,65,64,26,42,175,94,27,37,0,18,53,49,0,18,58,54,82,67,42,46,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",1497,163,78,54,20,19,17,20,193,69,8,12,551,128,15,17,0,21,138,55,0,21,86,39,207,83,184,78,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",11385,528,708,174,478,131,44,36,1529,266,432,125,3527,277,251,83,27,28,838,120,39,31,555,122,2030,272,843,162,67,44,17,19
0500000US01017,01017,"Chambers County, Alabama",2691,273,142,67,47,37,10,18,261,113,29,28,893,167,24,27,0,24,210,82,39,50,186,77,432,136,383,93,25,26,10,16
