,fips,CODE2013
0,01001,3.0
1,01003,4.0
2,01005,6.0
3,01007,2.0
4,01009,2.0
5,01011,6.0
6,01013,6.0
7,01015,4.0
8,01017,5.0
9,01019,6.0
10,01021,2.0
11,01023,6.0
12,01025,6.0
13,01027,6.0
14,01029,6.0
15,01031,5.0
16,01033,4.0
17,01035,6.0
18,01037,5.0
19,01039,6.0
20,01041,6.0
21,01043,5.0
22,01045,5.0
23,01047,5.0
24,01049,6.0
25,01051,3.0
26,01053,6.0
27,01055,4.0
28,01057,6.0
29,01059,6.0
30,01061,4.0
31,01063,6.0
32,01065,4.0
33,01067,4.0
34,01069,4.0
35,01071,5.0
36,01073,1.0
37,01075,6.0
38,01077,4.0
39,01079,4.0
40,01081,4.0
41,01083,3.0
42,01085,3.0
43,01087,6.0
44,01089,3.0
45,01091,6.0
46,01093,6.0
47,01095,5.0
48,01097,3.0
49,01099,6.0
50,01001,3.0
51,01003,4.0
52,01005,6.0
53,01007,4.0
54,01009,5.0
55,01111,6.0
56,01113,3.0
57,01115,2.0
58,01117,2.0
59,01119,6.0
60,01121,5.0
61,01123,6.0
62,01125,4.0
63,01127,2.0
64,01129,6.0
65,01131,6.0
66,01133,6.0
67,02013,6.0
68,02016,6.0
69,02000,3.0
70,02000,6.0
71,02000,6.0
72,02068,6.0
73,02000,6.0
74,02000,4.0
75,02000,6.0
76,02005,6.0
77,02001,5.0
78,02122,6.0
79,02001,5.0
80,02001,6.0
81,02164,6.0
82,02001,3.0
83,02001,6.0
84,02185,6.0
85,02188,6.0
86,02195,6.0
87,02198,6.0
88,02001,6.0
89,02002,6.0
90,02002,6.0
91,02232,6.0
92,02002,6.0
93,02261,6.0
94,02002,6.0
95,02275,6.0
96,02002,6.0
97,02282,6.0
98,02002,6.0
99,04001,6.0
100,04003,4.0
101,04005,4.0
102,04007,5.0
103,04009,5.0
104,04011,6.0
105,04012,6.0
106,04013,1.0
107,04015,4.0
108,04017,5.0
109,04019,3.0
110,04021,2.0
111,04023,5.0
112,04025,4.0
113,04027,4.0
114,05001,6.0
115,05003,6.0
116,05005,5.0
117,05007,3.0
118,05009,5.0
119,05011,6.0
120,05013,5.0
121,05015,6.0
122,05017,6.0
123,05019,5.0
124,05021,6.0
125,05023,6.0
126,05025,4.0
127,05027,5.0
128,05029,6.0
129,05031,4.0
130,05033,3.0
131,05035,2.0
132,05037,6.0
133,05039,6.0
134,05041,6.0
135,05043,6.0
136,05045,3.0
137,05047,6.0
138,05049,6.0
139,05051,4.0
140,05053,3.0
141,05055,5.0
142,05057,6.0
143,05059,5.0
144,05061,6.0
145,05063,5.0
146,05065,6.0
147,05067,6.0
148,05069,4.0
149,05071,6.0
150,05073,6.0
151,05075,6.0
152,05077,6.0
153,05079,4.0
154,05081,4.0
155,05083,6.0
156,05085,3.0
157,05087,3.0
158,05089,6.0
159,05091,4.0
160,05093,5.0
161,05095,6.0
162,05097,6.0
163,05099,6.0
164,05001,5.0
165,05003,5.0
166,05005,3.0
167,05007,5.0
168,05009,6.0
169,05111,4.0
170,05113,6.0
171,05115,5.0
172,05117,6.0
173,05119,3.0
174,05121,6.0
175,05123,5.0
176,05125,3.0
177,05127,6.0
178,05129,6.0
179,05131,3.0
180,05133,6.0
181,05135,6.0
182,05137,6.0
183,05139,5.0
184,05141,6.0
185,05143,3.0
186,05145,5.0
187,05147,6.0
188,05149,5.0
189,06001,1.0
